Sr No,Asset Type,Brand,Model,Power on (Yes/No),Accessories,CPU Speed,Manufacturer,Ram,Ram Type,Slots Qty,HDD Size,Display Size,Integrated WebCam (Y/N),Battery ,Wifi (Y/N),"Physical Damage (Yes/No), If Yes, Mention What","Functional Issues (Yes/No), If Yes, Mention what",Repairable (Yes/No),Additional Remarks,Price,
1,WINDOWS,DELL,5300,YES,,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,OK,OK,YES,OK,,
2,WINDOWS,DELL,5400,YES,,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
3,WINDOWS,DELL,5440,YES,,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,POOR,YES,SCREEN LINE,SCREEN LINE,YES,SCREEN LINE,,
4,WINDOWS,DELL,5440,YES,,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,FAIR,YES,SCRREN LINE,SCREEN LINE,YES,SCREEN LINE,,
5,WINDOWS,DELL,5440,NO,,NO CHWCK,INTEL,NO RAM,DDR-3,2,NO HDD,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO RAM NO HDD,,
6,WINDOWS,DELL,5480,YES,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,POWER ON BUT NO DISPLY,ONE TIME DISPLY TEN NO DISPLY,YES,NO DISPLY,,
7,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE,,
8,WINDOWS,DELL,5480,YES,,I5 8TH,I5 8TH,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
9,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,DISPLY PANAL DAMEGE&KBD PANAL DAMEGE,DISPLY PANAL DAMEGE KBD PANAL DAMEGE,YES,DISPLY PANAL DAMEGE,,
10,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
11,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
12,WINDOWS,DELL,5480,NO,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
13,WINDOWS,DELL,5480,YES,,NO CHWCK,NO CHWCK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,HANGING PROBLAM,HANGING PROBLAM,YES,HANGING,,
14,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,KBD KEYS MISSING,KBD ISSUE,YES,KBD ISSUE,,
15,WINDOWS,DELL,5480,YES,,I5 7TH,I5 7TH,8 GB,DDR-4,2,NO HDD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
16,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,OK,OK,YES,OK,,
17,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 GB,"14""",YES,POOR,YES,OK,CPU FAN NOICE,YES,FAN ISSUE,,
18,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,"DISPLY PANAL DAMEGE,C, D PANAL DAMEGE","A,C,D, PANAL DAMEGE",YES,PANAL DAMEGE,,
19,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS,,
20,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,POOR,YES,OK,OK,YES,OK,,
21,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
22,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,KBD PANAL DAMEGE,WHITE DOTS,YES,WHITE DOTS,,
23,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,GOOD,YES,DISPLY PANAL DAMEGE,DISPLY PANAL DAMEGE,YES,DISPLY PANAL DAMEGE,,
24,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK,,
25,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS,,
26,WINDOWS,DELL,5490,YES,,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,SCREEN DAMEGE,SCREEN DAMEGE,YES,SCREEN DAMEGE,,
27,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK,,
28,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE,,
29,WINDOWS,DELL,5490,YES,,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK,,
30,WINDOWS,DELL,5490,NO,,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY,,
