Inspection Date,Asset Type,Location of Asset,Serial No,Brand,Model,Power on (Yes/No),Accessories,OS,CPU Speed,Manufacturer,Ram,Ram Type,Slots Qty,HDD Size,Display Size,Integrated WebCam (Y/N),Battery ,Wifi (Y/N),"Physical Damage (Yes/No), If Yes, Mention What","Functional Issues (Yes/No), If Yes, Mention what",Repairable (Yes/No),Additional Remarks
22/09/2023,WINDOWS,GURUGRAM,7LWTLW2,DELL,5300,YES,,WIN,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,5W86Y33,DELL,5400,YES,,WIN,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,8PG6Y33,DELL,5400,YES,,WIN,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,HCVFL13,DELL,5400,YES,,WIN,I5 8TH,INTEL,16 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,8W3P542,DELL,5440,YES,,WIN,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,POOR,YES,SCREEN LINE,SCREEN LINE,YES,SCREEN LINE
22/09/2023,WINDOWS,GURUGRAM,HS5M542,DELL,5440,YES,,WIN,I5 4TH,INTEL,4 GB,DDR-3,2,500 GB,"14""",YES,FAIR,YES,SCRREN LINE,SCREEN LINE,YES,SCREEN LINE
22/09/2023,WINDOWS,GURUGRAM,FPT2T02,DELL,5440,NO,,WIN,NO CHWCK,INTEL,NO RAM,DDR-3,2,NO HDD,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO RAM NO HDD
22/09/2023,WINDOWS,GURUGRAM,35VLNH2,DELL,5480,YES,,WIN,NO CHWCK,NO CHECK,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,POWER ON BUT NO DISPLY,ONE TIME DISPLY TEN NO DISPLY,YES,NO DISPLY
22/09/2023,WINDOWS,GURUGRAM,DJHLNH2,DELL,5480,YES,,WIN,I5 7TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE
22/09/2023,WINDOWS,GURUGRAM,FTSKTN2,DELL,5480,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
